normalized_hand,hand_rank,hand_type
AsJh8s8h6c,22519,One Pair
AsJs8s8h6c,22520,One Pair
AsJs8s8h5s,22521,One Pair
AsJh8s8h5h,22522,One Pair
AsJh8s8h5s,22523,One Pair
AsJs8s8h5h,22524,One Pair
AsJh8s8h5d,22525,One Pair
AsJs8s8h5d,22526,One Pair
AsJh8s8h5c,22527,One Pair
AsJs8s8h5c,22528,One Pair
AsJs8s8h4s,22529,One Pair
AsJh8s8h4h,22530,One Pair
AsJh8s8h4s,22531,One Pair
AsJs8s8h4h,22532,One Pair
AsJh8s8h4d,22533,One Pair
AsJs8s8h4d,22534,One Pair
AsJh8s8h4c,22535,One Pair
AsJs8s8h4c,22536,One Pair
AsJs8s8h3s,22537,One Pair
AsJh8s8h3h,22538,One Pair
AsJh8s8h3s,22539,One Pair
AsJs8s8h3h,22540,One Pair
AsJh8s8h3d,22541,One Pair
AsJs8s8h3d,22542,One Pair
AsJh8s8h3c,22543,One Pair
AsJs8s8h3c,22544,One Pair
AsJs8s8h2s,22545,One Pair
AsJh8s8h2h,22546,One Pair
AsJh8s8h2s,22547,One Pair
AsJs8s8h2h,22548,One Pair
AsJh8s8h2d,22549,One Pair
AsJs8s8h2d,22550,One Pair
AsJh8s8h2c,22551,One Pair
AsJs8s8h2c,22552,One Pair
AsJs8s7s7h,22553,One Pair
AsJh8h7s7h,22554,One Pair
AsJh8s7s7h,22555,One Pair
AsJs8h7s7h,22556,One Pair
AsJh8d7s7h,22557,One Pair
AsJs8s6s6h,22558,One Pair
AsJh8h6s6h,22559,One Pair
AsJh8s6s6h,22560,One Pair
AsJs8h6s6h,22561,One Pair
AsJh8d6s6h,22562,One Pair
AsJs8s5s5h,22563,One Pair
AsJh8h5s5h,22564,One Pair
AsJh8s5s5h,22565,One Pair
AsJs8h5s5h,22566,One Pair
AsJh8d5s5h,22567,One Pair
AsJs8s4s4h,22568,One Pair
AsJh8h4s4h,22569,One Pair
AsJh8s4s4h,22570,One Pair
AsJs8h4s4h,22571,One Pair
AsJh8d4s4h,22572,One Pair
AsJs8s3s3h,22573,One Pair
AsJh8h3s3h,22574,One Pair
AsJh8s3s3h,22575,One Pair
AsJs8h3s3h,22576,One Pair
AsJh8d3s3h,22577,One Pair
AsJs8s2s2h,22578,One Pair
AsJh8h2s2h,22579,One Pair
AsJh8s2s2h,22580,One Pair
AsJs8h2s2h,22581,One Pair
AsJh8d2s2h,22582,One Pair
AsJs7s7h6s,22583,One Pair
AsJh7s7h6h,22584,One Pair
AsJh7s7h6s,22585,One Pair
AsJs7s7h6h,22586,One Pair
AsJh7s7h6d,22587,One Pair
AsJs7s7h6d,22588,One Pair
AsJh7s7h6c,22589,One Pair
AsJs7s7h6c,22590,One Pair
AsJs7s7h5s,22591,One Pair
AsJh7s7h5h,22592,One Pair
AsJh7s7h5s,22593,One Pair
AsJs7s7h5h,22594,One Pair
AsJh7s7h5d,22595,One Pair
AsJs7s7h5d,22596,One Pair
AsJh7s7h5c,22597,One Pair
AsJs7s7h5c,22598,One Pair
AsJs7s7h4s,22599,One Pair
AsJh7s7h4h,22600,One Pair
AsJh7s7h4s,22601,One Pair
AsJs7s7h4h,22602,One Pair
AsJh7s7h4d,22603,One Pair
AsJs7s7h4d,22604,One Pair
AsJh7s7h4c,22605,One Pair
AsJs7s7h4c,22606,One Pair
AsJs7s7h3s,22607,One Pair
AsJh7s7h3h,22608,One Pair
AsJh7s7h3s,22609,One Pair
AsJs7s7h3h,22610,One Pair
AsJh7s7h3d,22611,One Pair
AsJs7s7h3d,22612,One Pair
AsJh7s7h3c,22613,One Pair
AsJs7s7h3c,22614,One Pair
AsJs7s7h2s,22615,One Pair
AsJh7s7h2h,22616,One Pair
AsJh7s7h2s,22617,One Pair
AsJs7s7h2h,22618,One Pair
AsJh7s7h2d,22619,One Pair
AsJs7s7h2d,22620,One Pair
AsJh7s7h2c,22621,One Pair
AsJs7s7h2c,22622,One Pair
AsJs7s6s6h,22623,One Pair
AsJh7h6s6h,22624,One Pair
AsJh7s6s6h,22625,One Pair
AsJs7h6s6h,22626,One Pair
AsJh7d6s6h,22627,One Pair
AsJs7s5s5h,22628,One Pair
AsJh7h5s5h,22629,One Pair
AsJh7s5s5h,22630,One Pair
AsJs7h5s5h,22631,One Pair
AsJh7d5s5h,22632,One Pair
AsJs7s4s4h,22633,One Pair
AsJh7h4s4h,22634,One Pair
AsJh7s4s4h,22635,One Pair
AsJs7h4s4h,22636,One Pair
AsJh7d4s4h,22637,One Pair
AsJs7s3s3h,22638,One Pair
AsJh7h3s3h,22639,One Pair
AsJh7s3s3h,22640,One Pair
AsJs7h3s3h,22641,One Pair
AsJh7d3s3h,22642,One Pair
AsJs7s2s2h,22643,One Pair
AsJh7h2s2h,22644,One Pair
AsJh7s2s2h,22645,One Pair
AsJs7h2s2h,22646,One Pair
AsJh7d2s2h,22647,One Pair
AsJs6s6h5s,22648,One Pair
AsJh6s6h5h,22649,One Pair
AsJh6s6h5s,22650,One Pair
AsJs6s6h5h,22651,One Pair
AsJh6s6h5d,22652,One Pair
AsJs6s6h5d,22653,One Pair
AsJh6s6h5c,22654,One Pair
AsJs6s6h5c,22655,One Pair
AsJs6s6h4s,22656,One Pair
AsJh6s6h4h,22657,One Pair
AsJh6s6h4s,22658,One Pair
AsJs6s6h4h,22659,One Pair
AsJh6s6h4d,22660,One Pair
AsJs6s6h4d,22661,One Pair
AsJh6s6h4c,22662,One Pair
AsJs6s6h4c,22663,One Pair
AsJs6s6h3s,22664,One Pair
AsJh6s6h3h,22665,One Pair
AsJh6s6h3s,22666,One Pair
AsJs6s6h3h,22667,One Pair
AsJh6s6h3d,22668,One Pair
AsJs6s6h3d,22669,One Pair
AsJh6s6h3c,22670,One Pair
AsJs6s6h3c,22671,One Pair
AsJs6s6h2s,22672,One Pair
AsJh6s6h2h,22673,One Pair
AsJh6s6h2s,22674,One Pair
AsJs6s6h2h,22675,One Pair
AsJh6s6h2d,22676,One Pair
AsJs6s6h2d,22677,One Pair
AsJh6s6h2c,22678,One Pair
AsJs6s6h2c,22679,One Pair
AsJs6s5s5h,22680,One Pair
AsJh6h5s5h,22681,One Pair
AsJh6s5s5h,22682,One Pair
AsJs6h5s5h,22683,One Pair
AsJh6d5s5h,22684,One Pair
AsJs6s4s4h,22685,One Pair
AsJh6h4s4h,22686,One Pair
AsJh6s4s4h,22687,One Pair
AsJs6h4s4h,22688,One Pair
AsJh6d4s4h,22689,One Pair
AsJs6s3s3h,22690,One Pair
AsJh6h3s3h,22691,One Pair
AsJh6s3s3h,22692,One Pair
AsJs6h3s3h,22693,One Pair
AsJh6d3s3h,22694,One Pair
AsJs6s2s2h,22695,One Pair
AsJh6h2s2h,22696,One Pair
AsJh6s2s2h,22697,One Pair
AsJs6h2s2h,22698,One Pair
AsJh6d2s2h,22699,One Pair
AsJs5s5h4s,22700,One Pair
AsJh5s5h4h,22701,One Pair
AsJh5s5h4s,22702,One Pair
AsJs5s5h4h,22703,One Pair
AsJh5s5h4d,22704,One Pair
AsJs5s5h4d,22705,One Pair
AsJh5s5h4c,22706,One Pair
AsJs5s5h4c,22707,One Pair
AsJs5s5h3s,22708,One Pair
AsJh5s5h3h,22709,One Pair
AsJh5s5h3s,22710,One Pair
AsJs5s5h3h,22711,One Pair
AsJh5s5h3d,22712,One Pair
AsJs5s5h3d,22713,One Pair
AsJh5s5h3c,22714,One Pair
AsJs5s5h3c,22715,One Pair
AsJs5s5h2s,22716,One Pair
AsJh5s5h2h,22717,One Pair
AsJh5s5h2s,22718,One Pair
AsJs5s5h2h,22719,One Pair
AsJh5s5h2d,22720,One Pair
AsJs5s5h2d,22721,One Pair
AsJh5s5h2c,22722,One Pair
AsJs5s5h2c,22723,One Pair
AsJs5s4s4h,22724,One Pair
AsJh5h4s4h,22725,One Pair
AsJh5s4s4h,22726,One Pair
AsJs5h4s4h,22727,One Pair
AsJh5d4s4h,22728,One Pair
AsJs5s3s3h,22729,One Pair
AsJh5h3s3h,22730,One Pair
AsJh5s3s3h,22731,One Pair
AsJs5h3s3h,22732,One Pair
AsJh5d3s3h,22733,One Pair
AsJs5s2s2h,22734,One Pair
AsJh5h2s2h,22735,One Pair
AsJh5s2s2h,22736,One Pair
AsJs5h2s2h,22737,One Pair
AsJh5d2s2h,22738,One Pair
AsJs4s4h3s,22739,One Pair
AsJh4s4h3h,22740,One Pair
AsJh4s4h3s,22741,One Pair
AsJs4s4h3h,22742,One Pair
AsJh4s4h3d,22743,One Pair
AsJs4s4h3d,22744,One Pair
AsJh4s4h3c,22745,One Pair
AsJs4s4h3c,22746,One Pair
AsJs4s4h2s,22747,One Pair
AsJh4s4h2h,22748,One Pair
AsJh4s4h2s,22749,One Pair
AsJs4s4h2h,22750,One Pair
AsJh4s4h2d,22751,One Pair
AsJs4s4h2d,22752,One Pair
AsJh4s4h2c,22753,One Pair
AsJs4s4h2c,22754,One Pair
AsJs4s3s3h,22755,One Pair
AsJh4h3s3h,22756,One Pair
AsJh4s3s3h,22757,One Pair
AsJs4h3s3h,22758,One Pair
AsJh4d3s3h,22759,One Pair
AsJs4s2s2h,22760,One Pair
AsJh4h2s2h,22761,One Pair
AsJh4s2s2h,22762,One Pair
AsJs4h2s2h,22763,One Pair
AsJh4d2s2h,22764,One Pair
AsJs3s3h2s,22765,One Pair
AsJh3s3h2h,22766,One Pair
AsJh3s3h2s,22767,One Pair
AsJs3s3h2h,22768,One Pair
AsJh3s3h2d,22769,One Pair
AsJs3s3h2d,22770,One Pair
AsJh3s3h2c,22771,One Pair
AsJs3s3h2c,22772,One Pair
AsJs3s2s2h,22773,One Pair
AsJh3h2s2h,22774,One Pair
AsJh3s2s2h,22775,One Pair
AsJs3h2s2h,22776,One Pair
AsJh3d2s2h,22777,One Pair
AsTsTh9s8s,22778,One Pair
AsTsTh9h8h,22779,One Pair
AsTsTh9d8d,22780,One Pair
AsTsTh9c8c,22781,One Pair
AsTsTh9h8s,22782,One Pair
AsTsTh9s8h,22783,One Pair
AsTsTh9h8d,22784,One Pair
AsTsTh9d8s,22785,One Pair
AsTsTh9s8d,22786,One Pair
AsTsTh9d8h,22787,One Pair
AsTsTh9c8d,22788,One Pair
AsTsTh9d8c,22789,One Pair
AsTsTh9c8s,22790,One Pair
AsTsTh9s8c,22791,One Pair
AsTsTh9h8c,22792,One Pair
AsTsTh9c8h,22793,One Pair
AsTsTh9s7s,22794,One Pair
AsTsTh9h7h,22795,One Pair
AsTsTh9d7d,22796,One Pair
AsTsTh9c7c,22797,One Pair
AsTsTh9h7s,22798,One Pair
AsTsTh9s7h,22799,One Pair
AsTsTh9h7d,22800,One Pair
AsTsTh9d7s,22801,One Pair
AsTsTh9s7d,22802,One Pair
AsTsTh9d7h,22803,One Pair
AsTsTh9c7d,22804,One Pair
AsTsTh9d7c,22805,One Pair
AsTsTh9c7s,22806,One Pair
AsTsTh9s7c,22807,One Pair
AsTsTh9h7c,22808,One Pair
AsTsTh9c7h,22809,One Pair
AsTsTh9s6s,22810,One Pair
AsTsTh9h6h,22811,One Pair
AsTsTh9d6d,22812,One Pair
AsTsTh9c6c,22813,One Pair
AsTsTh9h6s,22814,One Pair
AsTsTh9s6h,22815,One Pair
AsTsTh9h6d,22816,One Pair
AsTsTh9d6s,22817,One Pair
AsTsTh9s6d,22818,One Pair
AsTsTh9d6h,22819,One Pair
AsTsTh9c6d,22820,One Pair
AsTsTh9d6c,22821,One Pair
AsTsTh9c6s,22822,One Pair
AsTsTh9s6c,22823,One Pair
AsTsTh9h6c,22824,One Pair
AsTsTh9c6h,22825,One Pair
AsTsTh9s5s,22826,One Pair
AsTsTh9h5h,22827,One Pair
AsTsTh9d5d,22828,One Pair
AsTsTh9c5c,22829,One Pair
AsTsTh9h5s,22830,One Pair
AsTsTh9s5h,22831,One Pair
AsTsTh9h5d,22832,One Pair
AsTsTh9d5s,22833,One Pair
AsTsTh9s5d,22834,One Pair
AsTsTh9d5h,22835,One Pair
AsTsTh9c5d,22836,One Pair
AsTsTh9d5c,22837,One Pair
AsTsTh9c5s,22838,One Pair
AsTsTh9s5c,22839,One Pair
AsTsTh9h5c,22840,One Pair
AsTsTh9c5h,22841,One Pair
AsTsTh9s4s,22842,One Pair
AsTsTh9h4h,22843,One Pair
AsTsTh9d4d,22844,One Pair
AsTsTh9c4c,22845,One Pair
AsTsTh9h4s,22846,One Pair
AsTsTh9s4h,22847,One Pair
AsTsTh9h4d,22848,One Pair
AsTsTh9d4s,22849,One Pair
AsTsTh9s4d,22850,One Pair
AsTsTh9d4h,22851,One Pair
AsTsTh9c4d,22852,One Pair
AsTsTh9d4c,22853,One Pair
AsTsTh9c4s,22854,One Pair
AsTsTh9s4c,22855,One Pair
AsTsTh9h4c,22856,One Pair
AsTsTh9c4h,22857,One Pair
AsTsTh9s3s,22858,One Pair
AsTsTh9h3h,22859,One Pair
AsTsTh9d3d,22860,One Pair
AsTsTh9c3c,22861,One Pair
AsTsTh9h3s,22862,One Pair
AsTsTh9s3h,22863,One Pair
AsTsTh9h3d,22864,One Pair
AsTsTh9d3s,22865,One Pair
AsTsTh9s3d,22866,One Pair
AsTsTh9d3h,22867,One Pair
AsTsTh9c3d,22868,One Pair
AsTsTh9d3c,22869,One Pair
AsTsTh9c3s,22870,One Pair
AsTsTh9s3c,22871,One Pair
AsTsTh9h3c,22872,One Pair
AsTsTh9c3h,22873,One Pair
AsTsTh9s2s,22874,One Pair
AsTsTh9h2h,22875,One Pair
AsTsTh9d2d,22876,One Pair
AsTsTh9c2c,22877,One Pair
AsTsTh9h2s,22878,One Pair
AsTsTh9s2h,22879,One Pair
AsTsTh9h2d,22880,One Pair
AsTsTh9d2s,22881,One Pair
AsTsTh9s2d,22882,One Pair
AsTsTh9d2h,22883,One Pair
AsTsTh9c2d,22884,One Pair
AsTsTh9d2c,22885,One Pair
AsTsTh9c2s,22886,One Pair
AsTsTh9s2c,22887,One Pair
AsTsTh9h2c,22888,One Pair
AsTsTh9c2h,22889,One Pair
AsTsTh8s7s,22890,One Pair
AsTsTh8h7h,22891,One Pair
AsTsTh8d7d,22892,One Pair
AsTsTh8c7c,22893,One Pair
AsTsTh8h7s,22894,One Pair
AsTsTh8s7h,22895,One Pair
AsTsTh8h7d,22896,One Pair
AsTsTh8d7s,22897,One Pair
AsTsTh8s7d,22898,One Pair
AsTsTh8d7h,22899,One Pair
AsTsTh8c7d,22900,One Pair
AsTsTh8d7c,22901,One Pair
AsTsTh8c7s,22902,One Pair
AsTsTh8s7c,22903,One Pair
AsTsTh8h7c,22904,One Pair
AsTsTh8c7h,22905,One Pair
AsTsTh8s6s,22906,One Pair
AsTsTh8h6h,22907,One Pair
AsTsTh8d6d,22908,One Pair
AsTsTh8c6c,22909,One Pair
AsTsTh8h6s,22910,One Pair
AsTsTh8s6h,22911,One Pair
AsTsTh8h6d,22912,One Pair
AsTsTh8d6s,22913,One Pair
AsTsTh8s6d,22914,One Pair
AsTsTh8d6h,22915,One Pair
AsTsTh8c6d,22916,One Pair
AsTsTh8d6c,22917,One Pair
AsTsTh8c6s,22918,One Pair
AsTsTh8s6c,22919,One Pair
AsTsTh8h6c,22920,One Pair
AsTsTh8c6h,22921,One Pair
AsTsTh8s5s,22922,One Pair
AsTsTh8h5h,22923,One Pair
AsTsTh8d5d,22924,One Pair
AsTsTh8c5c,22925,One Pair
AsTsTh8h5s,22926,One Pair
AsTsTh8s5h,22927,One Pair
AsTsTh8h5d,22928,One Pair
AsTsTh8d5s,22929,One Pair
AsTsTh8s5d,22930,One Pair
AsTsTh8d5h,22931,One Pair
AsTsTh8c5d,22932,One Pair
AsTsTh8d5c,22933,One Pair
AsTsTh8c5s,22934,One Pair
AsTsTh8s5c,22935,One Pair
AsTsTh8h5c,22936,One Pair
AsTsTh8c5h,22937,One Pair
AsTsTh8s4s,22938,One Pair
AsTsTh8h4h,22939,One Pair
AsTsTh8d4d,22940,One Pair
AsTsTh8c4c,22941,One Pair
AsTsTh8h4s,22942,One Pair
AsTsTh8s4h,22943,One Pair
AsTsTh8h4d,22944,One Pair
AsTsTh8d4s,22945,One Pair
AsTsTh8s4d,22946,One Pair
AsTsTh8d4h,22947,One Pair
AsTsTh8c4d,22948,One Pair
AsTsTh8d4c,22949,One Pair
AsTsTh8c4s,22950,One Pair
AsTsTh8s4c,22951,One Pair
AsTsTh8h4c,22952,One Pair
AsTsTh8c4h,22953,One Pair
AsTsTh8s3s,22954,One Pair
AsTsTh8h3h,22955,One Pair
AsTsTh8d3d,22956,One Pair
AsTsTh8c3c,22957,One Pair
AsTsTh8h3s,22958,One Pair
AsTsTh8s3h,22959,One Pair
AsTsTh8h3d,22960,One Pair
AsTsTh8d3s,22961,One Pair
AsTsTh8s3d,22962,One Pair
AsTsTh8d3h,22963,One Pair
AsTsTh8c3d,22964,One Pair
AsTsTh8d3c,22965,One Pair
AsTsTh8c3s,22966,One Pair
AsTsTh8s3c,22967,One Pair
AsTsTh8h3c,22968,One Pair
AsTsTh8c3h,22969,One Pair
AsTsTh8s2s,22970,One Pair
AsTsTh8h2h,22971,One Pair
AsTsTh8d2d,22972,One Pair
AsTsTh8c2c,22973,One Pair
AsTsTh8h2s,22974,One Pair
AsTsTh8s2h,22975,One Pair
AsTsTh8h2d,22976,One Pair
AsTsTh8d2s,22977,One Pair
AsTsTh8s2d,22978,One Pair
AsTsTh8d2h,22979,One Pair
AsTsTh8c2d,22980,One Pair
AsTsTh8d2c,22981,One Pair
AsTsTh8c2s,22982,One Pair
AsTsTh8s2c,22983,One Pair
AsTsTh8h2c,22984,One Pair
AsTsTh8c2h,22985,One Pair
AsTsTh7s6s,22986,One Pair
AsTsTh7h6h,22987,One Pair
AsTsTh7d6d,22988,One Pair
AsTsTh7c6c,22989,One Pair
AsTsTh7h6s,22990,One Pair
AsTsTh7s6h,22991,One Pair
AsTsTh7h6d,22992,One Pair
AsTsTh7d6s,22993,One Pair
AsTsTh7s6d,22994,One Pair
AsTsTh7d6h,22995,One Pair
AsTsTh7c6d,22996,One Pair
AsTsTh7d6c,22997,One Pair
AsTsTh7c6s,22998,One Pair
AsTsTh7s6c,22999,One Pair
AsTsTh7h6c,23000,One Pair
AsTsTh7c6h,23001,One Pair
AsTsTh7s5s,23002,One Pair
AsTsTh7h5h,23003,One Pair
AsTsTh7d5d,23004,One Pair
AsTsTh7c5c,23005,One Pair
AsTsTh7h5s,23006,One Pair
AsTsTh7s5h,23007,One Pair
AsTsTh7h5d,23008,One Pair
AsTsTh7d5s,23009,One Pair
AsTsTh7s5d,23010,One Pair
AsTsTh7d5h,23011,One Pair
AsTsTh7c5d,23012,One Pair
AsTsTh7d5c,23013,One Pair
AsTsTh7c5s,23014,One Pair
AsTsTh7s5c,23015,One Pair
AsTsTh7h5c,23016,One Pair
AsTsTh7c5h,23017,One Pair
AsTsTh7s4s,23018,One Pair
AsTsTh7h4h,23019,One Pair
AsTsTh7d4d,23020,One Pair
AsTsTh7c4c,23021,One Pair
AsTsTh7h4s,23022,One Pair
AsTsTh7s4h,23023,One Pair
AsTsTh7h4d,23024,One Pair
AsTsTh7d4s,23025,One Pair
AsTsTh7s4d,23026,One Pair
AsTsTh7d4h,23027,One Pair
AsTsTh7c4d,23028,One Pair
AsTsTh7d4c,23029,One Pair
AsTsTh7c4s,23030,One Pair
AsTsTh7s4c,23031,One Pair
AsTsTh7h4c,23032,One Pair
AsTsTh7c4h,23033,One Pair
AsTsTh7s3s,23034,One Pair
AsTsTh7h3h,23035,One Pair
AsTsTh7d3d,23036,One Pair
AsTsTh7c3c,23037,One Pair
AsTsTh7h3s,23038,One Pair
AsTsTh7s3h,23039,One Pair
AsTsTh7h3d,23040,One Pair
AsTsTh7d3s,23041,One Pair
AsTsTh7s3d,23042,One Pair
AsTsTh7d3h,23043,One Pair
AsTsTh7c3d,23044,One Pair
AsTsTh7d3c,23045,One Pair
AsTsTh7c3s,23046,One Pair
AsTsTh7s3c,23047,One Pair
AsTsTh7h3c,23048,One Pair
AsTsTh7c3h,23049,One Pair
AsTsTh7s2s,23050,One Pair
AsTsTh7h2h,23051,One Pair
AsTsTh7d2d,23052,One Pair
AsTsTh7c2c,23053,One Pair
AsTsTh7h2s,23054,One Pair
AsTsTh7s2h,23055,One Pair
AsTsTh7h2d,23056,One Pair
AsTsTh7d2s,23057,One Pair
AsTsTh7s2d,23058,One Pair
AsTsTh7d2h,23059,One Pair
AsTsTh7c2d,23060,One Pair
AsTsTh7d2c,23061,One Pair
AsTsTh7c2s,23062,One Pair
AsTsTh7s2c,23063,One Pair
AsTsTh7h2c,23064,One Pair
AsTsTh7c2h,23065,One Pair
AsTsTh6s5s,23066,One Pair
AsTsTh6h5h,23067,One Pair
AsTsTh6d5d,23068,One Pair
AsTsTh6c5c,23069,One Pair
AsTsTh6h5s,23070,One Pair
AsTsTh6s5h,23071,One Pair
AsTsTh6h5d,23072,One Pair
AsTsTh6d5s,23073,One Pair
AsTsTh6s5d,23074,One Pair
AsTsTh6d5h,23075,One Pair
AsTsTh6c5d,23076,One Pair
AsTsTh6d5c,23077,One Pair
AsTsTh6c5s,23078,One Pair
AsTsTh6s5c,23079,One Pair
AsTsTh6h5c,23080,One Pair
AsTsTh6c5h,23081,One Pair
AsTsTh6s4s,23082,One Pair
AsTsTh6h4h,23083,One Pair
AsTsTh6d4d,23084,One Pair
AsTsTh6c4c,23085,One Pair
AsTsTh6h4s,23086,One Pair
AsTsTh6s4h,23087,One Pair
AsTsTh6h4d,23088,One Pair
AsTsTh6d4s,23089,One Pair
AsTsTh6s4d,23090,One Pair
AsTsTh6d4h,23091,One Pair
AsTsTh6c4d,23092,One Pair
AsTsTh6d4c,23093,One Pair
AsTsTh6c4s,23094,One Pair
AsTsTh6s4c,23095,One Pair
AsTsTh6h4c,23096,One Pair
AsTsTh6c4h,23097,One Pair
AsTsTh6s3s,23098,One Pair
AsTsTh6h3h,23099,One Pair
AsTsTh6d3d,23100,One Pair
AsTsTh6c3c,23101,One Pair
AsTsTh6h3s,23102,One Pair
AsTsTh6s3h,23103,One Pair
AsTsTh6h3d,23104,One Pair
AsTsTh6d3s,23105,One Pair
AsTsTh6s3d,23106,One Pair
AsTsTh6d3h,23107,One Pair
AsTsTh6c3d,23108,One Pair
AsTsTh6d3c,23109,One Pair
AsTsTh6c3s,23110,One Pair
AsTsTh6s3c,23111,One Pair
AsTsTh6h3c,23112,One Pair
AsTsTh6c3h,23113,One Pair
AsTsTh6s2s,23114,One Pair
AsTsTh6h2h,23115,One Pair
AsTsTh6d2d,23116,One Pair
AsTsTh6c2c,23117,One Pair
AsTsTh6h2s,23118,One Pair
AsTsTh6s2h,23119,One Pair
AsTsTh6h2d,23120,One Pair
AsTsTh6d2s,23121,One Pair
AsTsTh6s2d,23122,One Pair
AsTsTh6d2h,23123,One Pair
AsTsTh6c2d,23124,One Pair
AsTsTh6d2c,23125,One Pair
AsTsTh6c2s,23126,One Pair
AsTsTh6s2c,23127,One Pair
AsTsTh6h2c,23128,One Pair
AsTsTh6c2h,23129,One Pair
AsTsTh5s4s,23130,One Pair
AsTsTh5h4h,23131,One Pair
AsTsTh5d4d,23132,One Pair
AsTsTh5c4c,23133,One Pair
AsTsTh5h4s,23134,One Pair
AsTsTh5s4h,23135,One Pair
AsTsTh5h4d,23136,One Pair
AsTsTh5d4s,23137,One Pair
AsTsTh5s4d,23138,One Pair
AsTsTh5d4h,23139,One Pair
AsTsTh5c4d,23140,One Pair
AsTsTh5d4c,23141,One Pair
AsTsTh5c4s,23142,One Pair
AsTsTh5s4c,23143,One Pair
AsTsTh5h4c,23144,One Pair
AsTsTh5c4h,23145,One Pair
AsTsTh5s3s,23146,One Pair
AsTsTh5h3h,23147,One Pair
AsTsTh5d3d,23148,One Pair
AsTsTh5c3c,23149,One Pair
AsTsTh5h3s,23150,One Pair
AsTsTh5s3h,23151,One Pair
AsTsTh5h3d,23152,One Pair
AsTsTh5d3s,23153,One Pair
AsTsTh5s3d,23154,One Pair
AsTsTh5d3h,23155,One Pair
AsTsTh5c3d,23156,One Pair
AsTsTh5d3c,23157,One Pair
AsTsTh5c3s,23158,One Pair
AsTsTh5s3c,23159,One Pair
AsTsTh5h3c,23160,One Pair
AsTsTh5c3h,23161,One Pair
AsTsTh5s2s,23162,One Pair
AsTsTh5h2h,23163,One Pair
AsTsTh5d2d,23164,One Pair
AsTsTh5c2c,23165,One Pair
AsTsTh5h2s,23166,One Pair
AsTsTh5s2h,23167,One Pair
AsTsTh5h2d,23168,One Pair
AsTsTh5d2s,23169,One Pair
AsTsTh5s2d,23170,One Pair
AsTsTh5d2h,23171,One Pair
AsTsTh5c2d,23172,One Pair
AsTsTh5d2c,23173,One Pair
AsTsTh5c2s,23174,One Pair
AsTsTh5s2c,23175,One Pair
AsTsTh5h2c,23176,One Pair
AsTsTh5c2h,23177,One Pair
AsTsTh4s3s,23178,One Pair
AsTsTh4h3h,23179,One Pair
AsTsTh4d3d,23180,One Pair
AsTsTh4c3c,23181,One Pair
AsTsTh4h3s,23182,One Pair
AsTsTh4s3h,23183,One Pair
AsTsTh4h3d,23184,One Pair
AsTsTh4d3s,23185,One Pair
AsTsTh4s3d,23186,One Pair
AsTsTh4d3h,23187,One Pair
AsTsTh4c3d,23188,One Pair
AsTsTh4d3c,23189,One Pair
AsTsTh4c3s,23190,One Pair
AsTsTh4s3c,23191,One Pair
AsTsTh4h3c,23192,One Pair
AsTsTh4c3h,23193,One Pair
AsTsTh4s2s,23194,One Pair
AsTsTh4h2h,23195,One Pair
AsTsTh4d2d,23196,One Pair
AsTsTh4c2c,23197,One Pair
AsTsTh4h2s,23198,One Pair
AsTsTh4s2h,23199,One Pair
AsTsTh4h2d,23200,One Pair
AsTsTh4d2s,23201,One Pair
AsTsTh4s2d,23202,One Pair
AsTsTh4d2h,23203,One Pair
AsTsTh4c2d,23204,One Pair
AsTsTh4d2c,23205,One Pair
AsTsTh4c2s,23206,One Pair
AsTsTh4s2c,23207,One Pair
AsTsTh4h2c,23208,One Pair
AsTsTh4c2h,23209,One Pair
AsTsTh3s2s,23210,One Pair
AsTsTh3h2h,23211,One Pair
AsTsTh3d2d,23212,One Pair
AsTsTh3c2c,23213,One Pair
AsTsTh3h2s,23214,One Pair
AsTsTh3s2h,23215,One Pair
AsTsTh3h2d,23216,One Pair
AsTsTh3d2s,23217,One Pair
AsTsTh3s2d,23218,One Pair
AsTsTh3d2h,23219,One Pair
AsTsTh3c2d,23220,One Pair
AsTsTh3d2c,23221,One Pair
AsTsTh3c2s,23222,One Pair
AsTsTh3s2c,23223,One Pair
AsTsTh3h2c,23224,One Pair
AsTsTh3c2h,23225,One Pair
AsTs9s9h8s,23226,One Pair
AsTh9s9h8h,23227,One Pair
AsTh9s9h8s,23228,One Pair
AsTs9s9h8h,23229,One Pair
AsTh9s9h8d,23230,One Pair
AsTs9s9h8d,23231,One Pair
AsTh9s9h8c,23232,One Pair
AsTs9s9h8c,23233,One Pair
AsTs9s9h7s,23234,One Pair
AsTh9s9h7h,23235,One Pair
AsTh9s9h7s,23236,One Pair
AsTs9s9h7h,23237,One Pair
AsTh9s9h7d,23238,One Pair
AsTs9s9h7d,23239,One Pair
AsTh9s9h7c,23240,One Pair
AsTs9s9h7c,23241,One Pair
AsTs9s9h6s,23242,One Pair
AsTh9s9h6h,23243,One Pair
AsTh9s9h6s,23244,One Pair
AsTs9s9h6h,23245,One Pair
AsTh9s9h6d,23246,One Pair
AsTs9s9h6d,23247,One Pair
AsTh9s9h6c,23248,One Pair
AsTs9s9h6c,23249,One Pair
AsTs9s9h5s,23250,One Pair
AsTh9s9h5h,23251,One Pair
AsTh9s9h5s,23252,One Pair
AsTs9s9h5h,23253,One Pair
