rank,normalized_hand,win_rate,standard_deviation,confidence_interval,simulations
1,AsAhKsKh,0.714000,0.004763,0.009336,9000
2,AsAhTsTh,0.712333,0.004772,0.009352,9000
3,AsAhQsQh,0.709667,0.004785,0.009378,9000
4,AsAhJsTh,0.709556,0.004785,0.009379,9000
5,AsAh6s6h,0.708333,0.004791,0.009391,9000
6,AsAh5s5h,0.706111,0.004802,0.009412,9000
7,AsAh8s8h,0.704444,0.004810,0.009427,9000
8,AsAh9s8h,0.703889,0.004812,0.009432,9000
9,AsAh9s9h,0.703778,0.004813,0.009433,9000
10,AsAhJsJh,0.703667,0.004813,0.009434,9000
11,AsAhTh8s,0.703333,0.004815,0.009437,9000
12,AsAhQsTh,0.703111,0.004816,0.009439,9000
13,AsAh8h7s,0.702778,0.004818,0.009442,9000
14,AsAhTh9s,0.702222,0.004820,0.009448,9000
15,AsAhKsTh,0.701333,0.004824,0.009456,9000
16,AsAhJhTs,0.700556,0.004828,0.009463,9000
17,AsAh4s4h,0.700111,0.004830,0.009467,9000
18,AsAh7h4s,0.699889,0.004831,0.009469,9000
19,AsAh5h4s,0.699778,0.004831,0.009470,9000
20,AsAh7s7h,0.698222,0.004839,0.009484,9000
21,AsAhQhJs,0.698000,0.004840,0.009486,9000
22,AsAh8s7h,0.697444,0.004842,0.009491,9000
23,AsAhQs5h,0.696222,0.004848,0.009501,9000
24,AsAhJs9h,0.696111,0.004848,0.009502,9000
25,AsAhTs8h,0.695889,0.004849,0.009504,9000
26,AsAhTs7h,0.695556,0.004851,0.009507,9000
27,AsAh7h5s,0.695222,0.004852,0.009510,9000
28,AsAhQsJh,0.695111,0.004853,0.009511,9000
29,AsAhQs3h,0.694889,0.004854,0.009513,9000
30,AsAh5s4h,0.694778,0.004854,0.009514,9000
31,AsAhKhTs,0.693778,0.004859,0.009523,9000
32,AsAh9s7h,0.693778,0.004859,0.009523,9000
33,AsAhJh5s,0.693333,0.004861,0.009527,9000
34,AsAhTh5s,0.693222,0.004861,0.009528,9000
35,AsAh8h5s,0.693111,0.004862,0.009529,9000
36,AsAhQhTs,0.692889,0.004862,0.009530,9000
37,AsAhJh8s,0.692778,0.004863,0.009531,9000
38,AsAh7s5h,0.692778,0.004863,0.009531,9000
39,AsAh2s2h,0.692667,0.004863,0.009532,9000
40,AsAh8s6h,0.692556,0.004864,0.009533,9000
41,AsAh7s4h,0.692556,0.004864,0.009533,9000
42,AsAh9h8s,0.692333,0.004865,0.009535,9000
43,AsAh3s3h,0.692333,0.004865,0.009535,9000
44,AsAh9h6s,0.692222,0.004865,0.009536,9000
45,AsAhQs8h,0.691778,0.004867,0.009540,9000
46,AsAh7h6s,0.691333,0.004869,0.009544,9000
47,AsAhTs9h,0.691333,0.004869,0.009544,9000
48,AsAh6s5h,0.691222,0.004870,0.009545,9000
49,AsAhTs5h,0.691222,0.004870,0.009545,9000
50,AsAhQs9h,0.691000,0.004871,0.009547,9000
51,AsAh6s4h,0.690778,0.004872,0.009549,9000
52,AsAh7s6h,0.690444,0.004873,0.009551,9000
53,AsAhJs8h,0.690222,0.004874,0.009553,9000
54,AsAhQh9s,0.690111,0.004875,0.009554,9000
55,AsAh8h6s,0.690000,0.004875,0.009555,9000
56,AsAhTh6s,0.689778,0.004876,0.009557,9000
57,AsAhQh3s,0.689778,0.004876,0.009557,9000
58,AsAh5s3h,0.689333,0.004878,0.009561,9000
59,AsAh8s5h,0.689111,0.004879,0.009563,9000
60,AsAh9h7s,0.688778,0.004880,0.009566,9000
61,AsAhTh4s,0.688444,0.004882,0.009568,9000
62,AsAhTs6h,0.688444,0.004882,0.009568,9000
63,AsAhJs7h,0.688444,0.004882,0.009568,9000
64,AsAh5h3s,0.688000,0.004884,0.009572,9000
65,AsAh7s3h,0.688000,0.004884,0.009572,9000
66,AsAhQh5s,0.687889,0.004884,0.009573,9000
67,AsAhQh7s,0.687444,0.004886,0.009577,9000
68,AsAh6h4s,0.687222,0.004887,0.009579,9000
69,AsAh6h5s,0.687111,0.004888,0.009580,9000
70,AsAh9h4s,0.687000,0.004888,0.009580,9000
71,AsAhQh8s,0.686889,0.004888,0.009581,9000
72,AsAh4h3s,0.686222,0.004891,0.009587,9000
73,AsAhTs2h,0.686222,0.004891,0.009587,9000
74,AsAhQs4h,0.686111,0.004892,0.009588,9000
75,AsAh9h5s,0.686000,0.004892,0.009589,9000
76,AsAhKsQh,0.686000,0.004892,0.009589,9000
77,AsAhJs2h,0.685889,0.004893,0.009590,9000
78,AsAh9s6h,0.685556,0.004894,0.009592,9000
79,AsAhQh6s,0.685556,0.004894,0.009592,9000
80,AsAhKs4h,0.685444,0.004895,0.009593,9000
81,AsAhJh3s,0.685444,0.004895,0.009593,9000
82,AsAhQh4s,0.685444,0.004895,0.009593,9000
83,AsAhKh4s,0.685111,0.004896,0.009596,9000
84,AsAhKh8s,0.685111,0.004896,0.009596,9000
85,AsAhJh9s,0.685111,0.004896,0.009596,9000
86,AsAhKh2s,0.685000,0.004896,0.009597,9000
87,AsAh9h3s,0.684667,0.004898,0.009600,9000
88,AsAh8h4s,0.684556,0.004898,0.009601,9000
89,AsAhTs3h,0.684444,0.004899,0.009602,9000
90,AsAhJs5h,0.684333,0.004899,0.009602,9000
91,AsAhKhQs,0.683778,0.004902,0.009607,9000
92,AsAhTh7s,0.683667,0.004902,0.009608,9000
93,AsAhJh2s,0.683556,0.004902,0.009609,9000
94,AsAhKh5s,0.683556,0.004902,0.009609,9000
95,AsAhKs5h,0.683333,0.004903,0.009611,9000
96,AsAhKs2h,0.683333,0.004903,0.009611,9000
97,AsAhKh7s,0.683222,0.004904,0.009612,9000
98,AsAhJs3h,0.683111,0.004904,0.009612,9000
99,AsAhTh2s,0.682667,0.004906,0.009616,9000
100,AsAhJh7s,0.682333,0.004908,0.009619,9000
101,AsAhKh9s,0.682111,0.004908,0.009621,9000
102,AsAh4s3h,0.682111,0.004908,0.009621,9000
103,AsAh3h2s,0.682000,0.004909,0.009621,9000
104,AsAhTs4h,0.682000,0.004909,0.009621,9000
105,AsAh3s2h,0.681778,0.004910,0.009623,9000
106,AsAh4h2s,0.681333,0.004912,0.009627,9000
107,AsAh9h2s,0.681222,0.004912,0.009628,9000
108,AsAh6h3s,0.681222,0.004912,0.009628,9000
109,AsAh9s5h,0.681111,0.004913,0.009629,9000
110,AsAh9s4h,0.681111,0.004913,0.009629,9000
111,AsAhQs2h,0.680667,0.004914,0.009632,9000
112,AsAh8s3h,0.680556,0.004915,0.009633,9000
113,AsAh6s3h,0.680556,0.004915,0.009633,9000
114,AsAhJs6h,0.680556,0.004915,0.009633,9000
115,AsAh7s2h,0.680444,0.004915,0.009634,9000
