rank,normalized_hand,win_rate,standard_deviation,confidence_interval,simulations
110,AsAhTs9d,0.684667,0.008483,0.016627,3000
111,AsAhTd9h,0.684000,0.008488,0.016637,3000
112,AsAh5h4d,0.683667,0.008491,0.016641,3000
113,AsAhTh9d,0.683667,0.008491,0.016641,3000
114,AsAhQdTs,0.683667,0.008491,0.016641,3000
115,AsAhQsTd,0.683333,0.008493,0.016646,3000
116,AsAhTd9s,0.683333,0.008493,0.016646,3000
117,AsAh4h2s,0.683333,0.008493,0.016646,3000
118,AsAhTs7h,0.683333,0.008493,0.016646,3000
119,AsAhKs4h,0.683000,0.008495,0.016651,3000
120,AsAhTh5s,0.682667,0.008498,0.016655,3000
121,AsAh8h6s,0.682333,0.008500,0.016660,3000
122,AsAhJs7h,0.682333,0.008500,0.016660,3000
123,AsAh9s2h,0.682000,0.008502,0.016665,3000
124,AsAhTh6d,0.682000,0.008502,0.016665,3000
125,AsAhQs6h,0.681667,0.008505,0.016669,3000
126,AsAh9h8d,0.681667,0.008505,0.016669,3000
127,AsAhJd3s,0.681667,0.008505,0.016669,3000
128,AsAh5h2s,0.681667,0.008505,0.016669,3000
129,AsAh7s2h,0.681667,0.008505,0.016669,3000
130,AsAhQdJs,0.681667,0.008505,0.016669,3000
131,AsAhKh7s,0.681333,0.008507,0.016674,3000
132,AsAhKh9s,0.681333,0.008507,0.016674,3000
133,AsAhQdJh,0.681333,0.008507,0.016674,3000
134,AsAh8s4h,0.681000,0.008510,0.016679,3000
135,AsAh9d8d,0.681000,0.008510,0.016679,3000
136,AsAhQh3s,0.681000,0.008510,0.016679,3000
137,AsAhKsJh,0.681000,0.008510,0.016679,3000
138,AsAhJh9d,0.680667,0.008512,0.016683,3000
139,AsAhJdTs,0.680333,0.008514,0.016688,3000
140,AsAh6h4s,0.680333,0.008514,0.016688,3000
141,AsAh5s4h,0.680333,0.008514,0.016688,3000
142,AsAh8s5d,0.680000,0.008517,0.016693,3000
143,AsAhJh6s,0.680000,0.008517,0.016693,3000
144,AsAhJh8s,0.680000,0.008517,0.016693,3000
